Date,Title,Content
190625,"Tribunal Continues Orders—Circular Copper Tube from Brazil, Greece, China, South Korea and Mexico","News release
Ottawa, Ontario, June 18, 2025—The Canadian International Trade Tribunal today continued its orders made on September 25, 2019, in expiry review RR‑2018‑005, concerning the dumping of circular copper tube from Brazil, Greece, China, South Korea and Mexico, and the subsidizing of these goods from China.

The Tribunal found that the expiry of the orders was likely to result in injury. As such, the Tribunal continued its orders. The Canada Border Services Agency will therefore continue to impose anti-dumping and countervailing duties on these goods.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
140625,Tribunal Initiates Inquiry—Thermal Paper Rolls from China,"News release
Ottawa, Ontario, June 13, 2025—The Canadian International Trade Tribunal today initiated a preliminary injury inquiry into a complaint by McDermid Paper Converters Limited of Markham, Ontario, Media Cash Register Inc. of Saint‑Laurent, Québec, and Custom Paper Ltd. of Richmond, British Columbia, that they have suffered injury as a result of the dumping and subsidizing of thermal paper rolls from China. The Tribunal’s inquiry is conducted pursuant to the Special Import Measures Act (SIMA) as a result of the initiation of dumping and subsidizing investigations by the Canada Border Services Agency (CBSA).

On August 11, 2025, the Tribunal will determine whether there is a reasonable indication that the alleged dumping and subsidizing have caused injury or retardation, or are threatening to cause injury, as these words are defined in SIMA. If so, the CBSA will continue its investigations and, by September 10, 2025, will make preliminary determinations. If these preliminary determinations indicate that there has been dumping or subsidizing, the CBSA will then continue its investigations and, concurrently, the Tribunal will initiate a final injury inquiry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing a Form I–Notice of Participation."
030625,Tribunal Continues Order—Thermoelectric Containers from China,"News release
Ottawa, Ontario, June 2, 2025—The Canadian International Trade Tribunal today continued its order made on September 5, 2019, in expiry review RR‑2018‑004, concerning the dumping and subsidizing of certain thermoelectric containers originating in or exported from China.

The Tribunal found that the expiry of the order was likely to result in injury. As such, the Tribunal continued its order. The Canada Border Services Agency will therefore continue to impose anti‑dumping and countervailing duties on these products.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
210525,Tribunal Issues Determination of Reasonable Indication of Injury— Polyethylene Terephthalate from China and Pakistan,"News release
Ottawa, Ontario, May 20, 2025—The Canadian International Trade Tribunal today determined that there is a reasonable indication that the dumping and subsidizing of polyethylene terephthalate originating in or exported from the People’s Republic of China and the Islamic Republic of Pakistan have caused injury to the domestic industry.

The Tribunal’s inquiry was conducted pursuant to the Special Import Measures Act as a result of the initiation of dumping and subsidizing investigations by the Canada Border Services Agency (CBSA). The CBSA will continue its investigations and, by June 17, 2025, will issue preliminary determinations.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
140525,"Tribunal Initiates Inquiry—Steel Strapping from China, Türkiye, South Korea, and Vietnam","News release
Ottawa, Ontario, May 13, 2025—The Canadian International Trade Tribunal today initiated a preliminary injury inquiry into a complaint by JEM Strapping Systems Inc., of Brantford, Ontario, that they have suffered injury as a result of the dumping of steel strapping from the People’s Republic of China, the Republic of Türkiye, the Republic of Korea, and the Socialist Republic of Vietnam and the subsidizing of steel strapping from the People’s Republic of China. The Tribunal’s inquiry is conducted pursuant to the Special Import Measures Act (SIMA) as a result of the initiation of dumping and subsidizing investigations by the Canada Border Services Agency (CBSA).

On July 10, 2025, the Tribunal will determine whether there is a reasonable indication that the alleged dumping and subsidizing have caused injury or retardation, or are threatening to cause injury, as these words are defined in SIMA. If so, the CBSA will continue its investigations and, by August 8, 2025, will make preliminary determinations. If these preliminary determinations indicate that there has been dumping or subsidizing, the CBSA will then continue its investigations and, concurrently, the Tribunal will initiate a final injury inquiry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing a Form I – Notice of Participation."
060525,Tribunal Initiates Expiry Review—Carbon Steel Screws from China and Chinese Taipei,"News release
Ottawa, Ontario, May 5, 2025—The Canadian International Trade Tribunal today initiated an expiry review of its order made on September 2, 2020, in expiry review RR‑2019‑002, to determine if the expiry of the order is likely to lead to continued or resumed dumping of certain carbon steel fasteners originating in or exported from the People’s Republic of China and the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu, and the subsidizing of such products originating in or exported from the People’s Republic of China and is likely to result in injury to the domestic industry.

No later than October 2, 2025, the Canada Border Services Agency will determine if there is a likelihood of resumed or continued dumping or subsidizing. In the event of a positive determination, the Tribunal will determine, no later than March 11, 2026, whether the continued or resumed dumping or subsidizing is likely to result in injury to the domestic industry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s expiry review may do so by filing Form I—Notice of Participation. "
010525,Tribunal Continues Order—Silicon Metal from China,"News release
Ottawa, Ontario, April 30, 2025—The Canadian International Trade Tribunal today continued its order made on August 22, 2019, in expiry review RR‑2018‑003, continuing, without amendment, its finding made on November 19, 2013, in inquiry NQ‑2013‑003, concerning the dumping and subsidizing of silicon metal containing at least 96.00 percent but less than 99.99 percent silicon by weight, and silicon metal containing between 89.00 percent and 96.00 percent silicon by weight that contains aluminum greater than 0.20 percent by weight, of all forms and sizes, from the People’s Republic of China.

The Canadian International Trade Tribunal found that the expiry of the order was likely to result in injury to the domestic industry. As such, the Tribunal continued its order. The Canada Border Services Agency will therefore continue to impose anti-dumping and countervailing duties on this product.

The Canadian International Trade Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
240425,"Tribunal Initiates Inquiry— Certain Carbon or Alloy Steel Wire from China, Chinese Taipei, India, Italy, Malaysia, Portugal, Spain, Thailand, Türkiye and Vietnam","News release
Ottawa, Ontario, April 23, 2025—The Canadian International Trade Tribunal today initiated a preliminary injury inquiry into a complaint by Sivaco Wire Group 2004 L.P, of Marieville, Quebec and ArcelorMittal Long Products Canada G.P., of Contrecoeur, Quebec, that they have suffered injury as a result of the dumping of certain carbon or alloy steel wire originating in or exported from the People's Republic of China, the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu, the Republic of India, the Italian Republic, the Federation of Malaysia, the Portuguese Republic, the Kingdom of Spain, the Kingdom of Thailand, the Republic of Türkiye, and the Socialist Republic of Vietnam. The Tribunal’s inquiry is conducted pursuant to the Special Import Measures Act (SIMA) as a result of the initiation of a dumping investigation by the Canada Border Services Agency (CBSA).

On June 19, 2025, the Tribunal will determine whether there is a reasonable indication that the alleged dumping has caused injury or retardation, or is threatening to cause injury, as these words are defined in SIMA. If so, the CBSA will continue its investigation and, by July 21, 2025, will make a preliminary determination. If this preliminary determination indicates that there has been dumping, the CBSA will then continue its investigation and, concurrently, the Tribunal will initiate a final injury inquiry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing a Form I – Notice of Participation."
220425,"The CBSA launches an investigation into the alleged dumping of certain carbon and alloy steel wire from the People's Republic of China, the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu, the Republic of India, the Italian Republic, the Federation of Malaysia, the Portuguese Republic, the Kingdom of Spain, the Kingdom of Thailand, the Republic of Türkiye, and the Socialist Republic of Vietnam","News release
April 22, 2025
Ottawa, Ontario

The Canada Border Services Agency (CBSA) announced today that it is initiating an investigation to determine whether certain carbon and alloy steel wire originating in or exported from the People's Republic of China, the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu, the Republic of India, the Italian Republic, the Federation of Malaysia, the Portuguese Republic, the Kingdom of Spain, the Kingdom of Thailand, the Republic of Türkiye, and the Socialist Republic of Vietnam is being sold at unfair prices in Canada. This practice of dumping goods into Canada can harm Canadian industries by undercutting Canadian prices, which undermines fair competition.

The CBSA is investigating because of a complaint filed by Sivaco Wire Group 2004, L.P. and ArcelorMittal Long Products Canada G.P. The complainants allege that as a result of an increase in the volume of the dumped imports, they have suffered material injury in the form of price undercutting, price depression, lost sales, lost market share, reduced net income and profitability, reduction in capacity utilization, inability to raise capital for investments, and reduced employment.

The CBSA and the Canadian International Trade Tribunal (CITT) both play a role in the investigation. The CITT will begin a preliminary inquiry to determine whether the imports are harming Canadian producers and will issue a decision by June 20, 2025. Concurrently, the CBSA will investigate whether the imports are being sold in Canada at unfair prices, and will make a preliminary decision by July 21, 2025.

Currently, there are 158 special import measures in force in Canada, covering a wide variety of industrial and consumer products. These measures have directly helped to protect approximately 31,000 Canadian jobs and $11.6 billion in Canadian production.

Quick facts
Canada’s trade remedy system is designed to ensure that imported goods are priced fairly relative to domestic products. To counteract unfair trade practices, the CBSA has the authority under the Special Import Measures Act to initiate investigations if a complaint is properly documented and impose trade remedy measures when there is evidence that dumping or subsidizing is causing or threatens to cause injury to Canadian producers.

The subject goods are certain carbon and alloy steel wire originating in or exported from the People's Republic of China, the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu, the Republic of India, the Italian Republic, the Federation of Malaysia, the Portuguese Republic, the Kingdom of Spain, the Kingdom of Thailand, the Republic of Türkiye, and the Socialist Republic of Vietnam. For more product information, please refer to the CBSA’s Anti-dumping and countervailing webpage. 

The Canadian producers of certain carbon and alloy steel wire affected by this investigation include Sivaco Wire Group, 2004 L.P. (Marieville, QC) and ArcelorMittal Long Products Canada G.P. (Contrecoeur, QC).

The total Canadian market for certain carbon and alloy steel wire has been estimated to be approximately $463 million annually.

A statement of reasons, with additional details about the investigation, will be available on the CBSA's website within 15 days from the date the investigation is launched."
060425,G7 Foreign Ministers’ statement on China’s large-scale military drills around Taiwan,"Statement
April 6, 2025 – Ottawa, Ontario – Global Affairs Canada

We, the G7 Foreign Ministers of Canada, France, Germany, Italy, Japan, the United Kingdom and the United States of America and the High Representative of the European Union, express deep concern about China’s provocative actions, particularly the recent large-scale military drills around Taiwan.

These increasingly frequent and destabilizing activities are raising cross-Strait tensions and put at risk global security and prosperity.

G7 members and the larger international community have an interest in the preservation of peace and stability across the Taiwan Strait. We oppose any unilateral actions to threaten such peace and stability, including by force or coercion.

G7 members continue to encourage the peaceful resolution of issues through constructive cross-Strait dialogue."
210325,Tribunal Initiates Inquiry—Polyethylene terephthalate from China and Pakistan,"News release
Ottawa, Ontario, March 20, 2025—The Canadian International Trade Tribunal today initiated a preliminary injury inquiry into a complaint by Compagnie Alpek Polyester Canada, of Montréal-Est, Quebec, that it has suffered injury as a result of the dumping and subsidizing of polyethylene terephthalate from the People’s Republic of China and the Islamic Republic of Pakistan. The Tribunal’s inquiry is conducted pursuant to the Special Import Measures Act (SIMA) as a result of the initiation of a dumping and subsidizing investigation by the Canada Border Services Agency (CBSA).

On May 20, 2025, the Tribunal will determine whether there is a reasonable indication that the alleged dumping and subsidizing have caused injury or retardation, or are threatening to cause injury, as these words are defined in SIMA. If so, the CBSA will continue its investigation and, by June 17, 2025, will make a preliminary determination. If this preliminary determination indicates that there has been dumping or subsidizing, the CBSA will then continue its investigation, and concurrently the Tribunal will initiate a final injury inquiry.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters.

Any interested person, association or government that wishes to participate in the Tribunal’s inquiry may do so by filing a Form I – Notice of Participation."
200325,Tribunal Continues Order—Unitized Wall Modules from China,"News release
Ottawa, Ontario, March 19, 2025—The Canadian International Trade Tribunal today continued its order made on July 3, 2019, in expiry review RR-2018-002, continuing, without amendment, its finding made on November 12, 2013, in inquiry NQ‑2013-002, concerning the dumping and subsidizing of unitized wall modules, with or without infill, including fully assembled frames, with or without fasteners, trims, cover caps, window operators, gaskets, load transfer bars, sunshades and anchor assemblies, excluding non‑unitized building envelope systems, such as stick systems and point-fixing systems, originating in or exported from the People’s Republic of China.

The Tribunal found that the expiry of the order was likely to result in injury. As such, the Tribunal continued its order. The Canada Border Services Agency will therefore continue to impose anti-dumping and countervailing duties on this product.

The Tribunal is an independent quasi-judicial body that reports to Parliament through the Minister of Finance. It hears cases on dumped and subsidized imports, safeguard complaints, complaints about federal government procurement and appeals of customs and excise tax rulings. When requested by the federal government, the Tribunal also provides advice on other economic, trade and tariff matters."
090325,"Statement by ministers Ng, MacAulay and Lebouthillier on China’s anti-discrimination investigation","Statement

March 8, 2025 - Ottawa, Ontario - Global Affairs Canada

The Honourable Mary Ng, Minister of Export Promotion, International Trade and Economic Development, the Honourable Lawrence MacAulay, Minister of Agriculture and Agri-Food, and the Honourable Diane Lebouthillier, Minister of Fisheries, Oceans and the Canadian Coast Guard, today issued the following statement in response to China’s announcement of tariffs against Canadian agricultural, fish and seafood products:

“Today, China announced the conclusion of a domestic ‘anti-discrimination’ investigation that it launched against Canada on September 26, 2024. The investigation resulted in the announcement of unjustified tariffs on Canadian canola oil and meal, peas, fish, seafood and pork products and is scheduled to enter into force on March 20, 2025.

“Canada does not accept the premise of China’s investigation, nor its findings. We are deeply disappointed with China’s announced measures.   

“Our hard-working farmers and fishers provide world-class food to Canadians and international trading partners. Canadian products meet the highest standards, and our inspection systems are robust. As a trading partner, Canada has demonstrated a commitment to ensuring a level playing field for Canadian businesses, and support for fair, rules-based trade. This includes addressing China’s non-market policies and practices that artificially lower production costs and distort markets. Canada remains open to engaging in constructive dialogue with Chinese officials to address our respective trade concerns.

“We are steadfast in our commitment to defend Canadian workers and we will stand shoulder-to-shoulder in our support for Canada’s hard-working farmers and fishers in the agricultural and fishing sectors, who will be impacted by the measures that China regrettably announced today.”

Quick Facts

Canola is Canada’s second largest acreage crop, with over 21 million acres produced annually. It generated $13.6 billion in farm cash receipts in 2023.
Canadian exports of canola meal to China represented $920.9 million in 2024, while exports of canola oil represented approximately $21 million. Canada’s pea exports (dried and fresh) to China amounted to $303.6 million in 2024.
In 2024, Canada exported $1.3 billion in fish and seafood products to China.
 In 2024, Canada exported $468.6 million in pork products to China"
290225,Statement from Minister Joly following Thailand’s forced return of Uyghur refugees to China,"Statement
February 27, 2025 – Ottawa, Ontario – Global Affairs Canada

The Honourable Mélanie Joly, Minister of Foreign Affairs, today issued the following statement:

“Canada is deeply concerned that 40 Uyghur refugees were forcibly returned to China today, putting them at a serious risk of torture, mistreatment, repressive surveillance, arbitrary detention and forced labour.

“Canada has serious concerns that this is a violation of Thailand’s obligation under the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment.

“Canada calls on all countries to not send asylum seekers back to countries where they are at real risk of torture, forced disappearance and political persecution.

“We call on the Chinese government to end its repression of ethnic and religious minorities.

“Canada has been raising this issue with the Thai government at all levels for the past several years to convey Canada’s position, including today.”"
