Month,Relation,Sentiment,EXCHUS,US_tariff_rate,China_tariff_rate,US_exports_millions,China_exports_millions,Trade_balance,Log_EXCHUS_Change,Sentiment_Change,Log_EXCHUS_Change_Lag,US_log_tariff_rate_change_lag,China_log_tariff_rate_change_lag,Trade_balance_change_lag,Log_trade_balance_change_lag,US_log_exports_change_lag,China_log_exports_change_lag,US_log_exports_change,China_log_exports_change,Sentiment_change_lag
2023-09,USA-China,0.022571,7.2979,19.3,21.1,11780.20,40247.90,-28467.70,0.006778289,0.013779,0.001259843,0,0,2724.50,7.91,0.293925170814449,0.031803590976342,0.088449336108074,0.088785826630506,-0.000521
2023-10,USA-China,0.02205,7.3071,19.3,21.1,15805.30,41548.50,-25743.20,0.001259843,-0.000521,-0.011631479,0,0,4142.10,8.33,-0.125848379963530,-0.156275756522554,0.293925170814449,0.031803590976342,-0.007178
2023-11,USA-China,0.014872,7.2226,19.3,21.1,13936.30,35537.40,-21601.10,-0.011631479,-0.007178,-0.011474212,0,0,-531.80,-6.28,-0.145374197323189,-0.038839666151711,-0.125848379963530,-0.156275756522554,-0.000263
2023-12,USA-China,0.014609,7.1402,19.3,21.1,12050.70,34183.60,-22132.90,-0.011474212,-0.000263,0.004262492,0,0,-1582.00,-7.37,0.001409712320495,0.045715744842026,-0.145374197323189,-0.038839666151711,0.003493
2024-01,USA-China,0.018102,7.1707,19.3,21.1,12067.70,35782.60,-23714.90,0.004262492,0.003493,0.003174562,0,0,3913.50,8.27,-0.000455865966725,-0.115997449285722,0.001409712320495,0.045715744842026,0.004075
2024-02,USA-China,0.022177,7.1935,19.3,21.1,12062.20,31863.60,-19801.40,0.003174562,0.004075,0.001111497,0,0,2530.10,7.84,0.047857260857109,-0.062776724402205,-0.000455865966725,-0.115997449285722,0.000647
2024-03,USA-China,0.022824,7.2015,19.3,21.1,12653.50,29924.80,-17271.30,0.001111497,0.000647,0.004972688,0,0,-2779.00,-7.93,-0.091040649156833,0.054554991934195,0.047857260857109,-0.062776724402205,-0.00913
2024-04,USA-China,0.013694,7.2374,19.3,21.1,11552.40,31602.70,-20050.30,0.004972688,-0.00913,-0.000649615,0,0,-3621.30,-8.19,-0.019995333096572,0.101971206777201,-0.091040649156833,0.054554991934195,-0.000536
2024-05,USA-China,0.013158,7.2327,19.3,21.1,11323.70,34995.30,-23671.60,-0.000649615,-0.000536,0.003037124,0,0,879.10,6.78,0.004660739792865,-0.023892039871434,-0.019995333096572,0.101971206777201,-0.005951
2024-06,USA-China,0.007207,7.2547,19.3,21.1,11376.60,34169.10,-22792.50,0.003037124,-0.005951,0.000854253,0,0,-7238.80,-8.89,-0.054812693392341,0.177387314944434,0.004660739792865,-0.023892039871434,0.009283
2024-07,USA-China,0.01649,7.2609,19.3,21.1,10769.80,40801.10,-30031.30,0.000854253,0.009283,-0.015741143,0,0,2187.00,7.69,0.105398584349535,-0.024560762092959,-0.054812693392341,0.177387314944434,-0.006713
2024-08,USA-China,0.009777,7.1475,19.3,21.1,11966.90,39811.20,-27844.30,-0.015741143,-0.006713,-0.010053869,0,0,-3986.80,-8.29,-0.067383176471438,0.077475002222005,0.105398584349535,-0.024560762092959,0.00895
2024-09,USA-China,0.018727,7.076,19.3,21.1,11187.10,43018.20,-31831.10,-0.010053869,0.00895,0.001708545,0.030614636,0,3754.60,8.23,0.178132384275873,-0.037258447755752,-0.067383176471438,0.077475002222005,-0.008604
2024-10,USA-China,0.010123,7.0881,19.9,21.1,13368.40,41444.90,-28076.50,0.001708545,-0.008604,0.016538322,0,0,2904.80,7.97,-0.058950897605088,-0.092722620566450,0.178132384275873,-0.037258447755752,0.009559
2024-11,USA-China,0.019682,7.2063,19.9,21.1,12603.10,37774.80,-25171.70,0.016538322,0.009559,0.010271368,0,0,-86.80,-4.46,-0.024733873131652,-0.005870304995693,-0.058950897605088,-0.092722620566450,-0.003167
2024-12,USA-China,0.016515,7.2807,19.9,21.1,12295.20,37553.70,-25258.50,0.010271368,-0.003167,0.002058122,0.436794958,0.004728141,-6479.40,-8.78,-0.216542880659924,0.103270122624194,-0.024733873131652,-0.005870304995693,-0.002227
2025-01,USA-China,0.014288,7.2957,30.8,21.2,9901.30,41639.20,-31737.90,0.002058122,-0.002227,-0.003061276,0.281167391,0.032485455,10564.10,9.27,0.055045348959114,-0.274765284524259,-0.216542880659924,0.103270122624194,-0.001378
2025-02,USA-China,0.01291,7.2734,40.8,21.9,10461.60,31635.40,-21173.80,-0.003061276,-0.001378,-0.003318945,0.193290588,0.031463269,3248.30,8.09,0.090994220277130,-0.073836647914732,0.055045348959114,-0.274765284524259,-0.002809
2025-03,USA-China,0.010101,7.2493,49.5,22.6,11458.20,29383.70,-17925.50,-0.003318945,-0.002809,0.006530983,0.919115023,1.876556006,740.50,6.61,-0.335413294260780,-0.146553501439554,0.090994220277130,-0.073836647914732,-0.007582
2025-04,USA-China,0.002519,7.2968,124.1,147.6,8193.10,25378.10,-17185.00,0.006530983,-0.007582,-0.011051968,-0.887303195,-1.510193624,3244.40,8.08,-0.223323597058521,-0.213759316499095,-0.335413294260780,-0.146553501439554,0.007773
2025-05,USA-China,0.010292,7.2166,51.1,32.6,6553.30,20493.90,-13940.60,-0.011051968,0.007773,-0.005028836,0,0,,,,,-0.223323597058521,-0.213759316499095,
2025-06,USA-China,0.016454,7.1804,51.1,32.6,,,,-0.005028836,0.006162,,,,,,,,,,
